epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1906.82,1.02489,0.75683,0.86449,0.24043,0.125,0.1378,0.05976,2.14711,4.79882,1.01489,0.00120491,0.00120491,0.00120491
86,1920.97,0.98145,0.78762,0.8937,0.24081,0.125,0.19089,0.07959,2.01168,4.52687,0.99362,0.00119941,0.00119941,0.00119941
87,1934.93,1.04403,0.80143,0.87914,0.24088,0.125,0.25826,0.10275,2.12179,4.34566,1.01288,0.00119391,0.00119391,0.00119391
88,1949.24,0.83041,0.72138,0.87091,0.32541,0.23811,0.25213,0.12234,2.0317,4.06003,1.00194,0.0011884,0.0011884,0.0011884
89,1963.23,0.95329,0.74722,0.85808,0.31453,0.25,0.26213,0.13497,1.92111,3.85831,0.99257,0.0011829,0.0011829,0.0011829
90,1977.22,0.83559,0.73654,0.89131,0.23993,0.25,0.25534,0.13014,1.84741,3.88794,0.98052,0.0011774,0.0011774,0.0011774
91,1991.05,0.96402,0.74547,0.90302,0.19977,0.125,0.22942,0.09324,1.86298,4.20889,0.97934,0.0011719,0.0011719,0.0011719
92,2004.97,1.02836,0.73912,0.89048,0.24867,0.12433,0.22747,0.09028,1.81998,4.36467,0.9795,0.0011664,0.0011664,0.0011664
93,2018.26,0.95271,0.72986,0.8803,0.24483,0.12242,0.33502,0.14377,1.80825,4.33098,0.97719,0.0011609,0.0011609,0.0011609
94,2032.54,0.89607,0.70459,0.82333,0.24008,0.12004,0.35388,0.14392,1.94458,4.35846,0.99297,0.0011554,0.0011554,0.0011554
95,2046.83,0.89905,0.73494,0.87644,0.10273,1,0.33569,0.13598,2.14426,4.48319,1.04057,0.0011499,0.0011499,0.0011499
96,2061.27,1.01852,0.68564,0.83565,0.12381,1,0.32881,0.14258,2.06657,4.38713,1.04579,0.0011444,0.0011444,0.0011444
97,2075.04,1.02041,0.72275,0.86641,0.11111,1,0.3871,0.1913,1.9724,4.16426,1.02842,0.00113889,0.00113889,0.00113889
98,2089.66,0.97731,0.73759,0.86689,0.08952,1,0.30719,0.14185,1.97563,4.17839,1.01553,0.00113339,0.00113339,0.00113339
99,2104.45,0.94632,0.64588,0.87211,0.24769,0.12384,0.25529,0.11843,1.96575,4.14754,1.01031,0.00112789,0.00112789,0.00112789
100,2118.36,1.05715,0.70575,0.88913,0.24892,0.12446,0.21432,0.10568,1.80003,4.07914,0.9892,0.00112239,0.00112239,0.00112239
101,2132.67,0.92999,0.69968,0.88186,0.21934,0.125,0.2822,0.13776,1.72764,3.85924,0.9898,0.00111689,0.00111689,0.00111689
102,2147.3,0.90319,0.67624,0.83897,0.31893,0.22839,0.30527,0.15041,1.71709,3.61331,0.98864,0.00111139,0.00111139,0.00111139
103,2161.39,0.85969,0.66497,0.82998,0.37207,0.36621,0.35214,0.19302,1.60665,3.21324,0.97381,0.00110589,0.00110589,0.00110589
104,2175.84,0.8665,0.65917,0.85696,0.37476,0.37429,0.37504,0.22651,1.48019,3.05175,0.95488,0.00110039,0.00110039,0.00110039
105,2190.05,0.85832,0.65835,0.83956,0.35316,0.375,0.40098,0.23831,1.47474,3.10144,0.93871,0.00109489,0.00109489,0.00109489
106,2203.81,0.94636,0.65498,0.89203,0.36611,0.375,0.39824,0.2152,1.64555,3.41187,0.93898,0.00108938,0.00108938,0.00108938
107,2218.12,0.86445,0.68534,0.87352,0.17857,1,0.39824,0.24286,1.60782,3.56739,0.93019,0.00108388,0.00108388,0.00108388
108,2232.79,0.94184,0.65987,0.84425,0.28479,0.17718,0.38532,0.22673,1.61355,3.71544,0.92673,0.00107838,0.00107838,0.00107838
109,2247.2,0.83803,0.61963,0.84214,0.17857,1,0.38907,0.19771,1.78267,4.06678,0.93713,0.00107288,0.00107288,0.00107288
110,2261.04,0.84457,0.65025,0.90859,0.14683,1,0.38333,0.20202,1.81939,4.30372,0.94142,0.00106738,0.00106738,0.00106738
111,2275.23,0.8105,0.59871,0.87151,0.12857,1,0.37639,0.20801,1.63416,4.21871,0.93612,0.00106188,0.00106188,0.00106188
112,2289,0.83932,0.65119,0.9079,0.16346,1,0.38333,0.21585,1.57499,4.17508,0.94882,0.00105638,0.00105638,0.00105638
113,2303.16,0.85265,0.68802,0.87445,0.31903,0.22854,0.34188,0.18334,1.73671,4.00648,0.95847,0.00105088,0.00105088,0.00105088
114,2317.16,1.00856,0.63537,0.85367,0.31867,0.22801,0.3508,0.1887,1.73067,3.77964,0.95091,0.00104538,0.00104538,0.00104538
115,2331.21,1.03962,0.73081,0.9491,0.33187,0.2478,0.3508,0.17675,1.57514,3.69555,0.96063,0.00103987,0.00103987,0.00103987
116,2345.26,0.8081,0.65292,0.8328,0.35852,0.375,0.40608,0.1734,1.91597,3.71219,0.98758,0.00103437,0.00103437,0.00103437
117,2358.89,0.96744,0.67171,0.87166,0.29821,0.25,0.3825,0.17891,1.92471,4.07999,0.99201,0.00102887,0.00102887,0.00102887
118,2372.26,0.88459,0.61009,0.87492,0.29495,0.29234,0.32089,0.16817,1.91543,4.30719,0.98301,0.00102337,0.00102337,0.00102337
119,2385.75,0.95844,0.65618,0.86377,0.25542,0.54858,0.31072,0.16061,1.89137,4.42648,0.9647,0.00101787,0.00101787,0.00101787
120,2399.99,0.8884,0.64036,0.89777,0.31553,0.25,0.31345,0.14467,2.0547,4.57794,0.96943,0.00101237,0.00101237,0.00101237
121,2414.43,0.8535,0.60392,0.81678,0.26995,0.25,0.34679,0.13413,2.2288,4.55123,0.98991,0.00100687,0.00100687,0.00100687
122,2428.27,0.82425,0.59977,0.82753,0.35327,0.375,0.37037,0.16054,2.11539,4.29899,0.9828,0.00100137,0.00100137,0.00100137
123,2442.54,0.81882,0.62935,0.88962,0.36069,0.375,0.35413,0.18412,1.87387,3.59203,0.95405,0.000995866,0.000995866,0.000995866
124,2457.1,0.96387,0.63184,0.87401,0.36551,0.375,0.36788,0.19459,1.75808,3.11878,0.93818,0.000990365,0.000990365,0.000990365
125,2471.58,0.98561,0.66336,0.89263,0.37248,0.375,0.31509,0.16888,1.79358,2.8756,0.94229,0.000984864,0.000984864,0.000984864
126,2485.74,0.89349,0.6395,0.84147,0.39384,0.4692,0.398,0.20933,1.83076,2.75303,0.93169,0.000979362,0.000979362,0.000979362
127,2500.5,0.82406,0.60425,0.83905,0.3946,0.47298,0.43946,0.21232,1.9403,2.55362,0.95649,0.000973861,0.000973861,0.000973861
